Unnamed: 0	reference	translation	similarity	lenght_diff	ref_tox	trn_tox
0	If Alkar is flooding her with psychic waste, that explains the high level of neurotransmitters.	if Alkar floods her with her mental waste, it would explain the high levels of neurotransmitter.	0.785170556584	0.0103092783505154	0.0141952484846115	0.9819834232330322
1	Now you're getting nasty.	you're becoming disgusting.	0.749686862828	0.0714285714285714	0.0654725134372711	0.9990390539169312
2	Well, we could spare your life, for one.	well, we can spare your life.	0.91905108037	0.2682926829268293	0.2133129686117172	0.98506760597229
3	Ah! Monkey, you've got to snap out of it.	monkey, you have to wake up.	0.664333132494	0.3095238095238095	0.0533622205257415	0.9942149519920348
4	I've got orders to put her down.	I have orders to kill her.	0.726639296422	0.1818181818181818	0.0094018271192908	0.9993481040000916
5	I'm not gonna have a child... ...with the same genetic disorder as me who's gonna die. L...	I'm not going to breed kids with a genetic disorder that makes them die.	0.703185386069	0.2065217391304347	0.9509556293487548	0.0358464829623699
6	They're all laughing at us, so we'll kick your ass.	they're laughing at us. We'll show you.	0.6188663799949999	0.2307692307692307	0.9994921684265136	0.0001314068067586
7	Maine was very short on black people back then.	there wasn't much black in Maine then.	0.7204820499860001	0.1875	0.9636802077293396	0.148709550499916
8	Briggs, what the hell's happening?	Briggs, what the hell is going on?	0.920372863476	0.0	0.159095898270607	0.8410708904266357
9	Another one simply had no clue what to do, so whenever he met my brother he'd beat the crap out of him, and then say:	another simply didn't know what to do, so whenever he met my brother, he nearly beat the shit out of him.	0.877539906035	0.1016949152542373	0.0553707256913185	0.9304717183113098
